id	description	descriptionhtml	adoc	html	normalized	numeronym	transliterator	creativework_id
quran_20_verse_26_transliteration_eng			Wayassir lee amree	Wayassir lee amree	Wayassir lee amree		Transliteration	quran_20_verse_26
quran_42_verse_1_transliteration_eng			Hameem	<u>Ha</u>meem	Hameem		Transliteration	quran_42_verse_1
quran_89_verse_1_transliteration_eng			Waalfajri	Wa<b>a</b>lfajr<b>i</b>	Waalfajri		Transliteration	quran_89_verse_1
quran_1_verse_1_transliteration_eng			Bismi Allahi alrrahmani alrraheemi	Bismi All<u>a</U>hi a<b>l</B>rra<u>h</U>m<u>a</U>ni a<b>l</B>rra<u>h</U>eem<b>i</b>	Bismi Allahi alrrahmani alrraheemi		Transliteration	quran_1_verse_1
quran_1_verse_2_transliteration_eng			Alhamdu lillahi rabbi alAAalameena	Al<u>h</U>amdu lill<u>a</U>hi rabbi alAA<u>a</U>lameen<b>a</b>	Alhamdu lillahi rabbi alAAalameena		Transliteration	quran_1_verse_2
quran_1_verse_3_transliteration_eng			Alrrahmani alrraheemi	A<b>l</B>rra<u>h</U>m<u>a</U>ni a<b>l</B>rra<u>h</U>eem<b>i</b>	Alrrahmani alrraheemi		Transliteration	quran_1_verse_3
quran_1_verse_4_transliteration_eng			Maliki yawmi alddeeni	M<u>a</U>liki yawmi a<b>l</B>ddeen<b>i</b>	Maliki yawmi alddeeni		Transliteration	quran_1_verse_4
quran_1_verse_5_transliteration_eng			Iyyaka naAAbudu waiyyaka nastaAAeenu	Iyy<u>a</U>ka naAAbudu waiyy<u>a</U>ka nastaAAeen<b>u</b>	Iyyaka naAAbudu waiyyaka nastaAAeenu		Transliteration	quran_1_verse_5
quran_1_verse_6_transliteration_eng			Ihdina alssirata almustaqeema	Ihdin<u>a</U> a<b>l</B><u>ss</U>ir<u>at</U>a almustaqeem<b>a</b>	Ihdina alssirata almustaqeema		Transliteration	quran_1_verse_6
quran_1_verse_7_transliteration_eng			Sirata allatheena anAAamta AAalayhim ghayri almaghdoobi AAalayhim wala alddalleena	<u>S</U>ir<u>at</U>a alla<u>th</U>eena anAAamta AAalayhim ghayri almagh<u>d</U>oobi AAalayhim wal<u>a</U> a<b>l</B><u>dda</U>lleen<b>a</b>	Sirata allatheena anAAamta AAalayhim ghayri almaghdoobi AAalayhim wala alddalleena		Transliteration	quran_1_verse_7
quran_2_verse_1_transliteration_eng			Aliflammeem	Alifl<u>a</u>mmeem	Aliflammeem		Transliteration	quran_2_verse_1
quran_2_verse_2_transliteration_eng			Thalika alkitabu la rayba feehi hudan lilmuttaqeena	<u>Tha</u>lika alkit<u>a</u>bu l<u>a</u> rayba feehi hudan lilmuttaqeen<b>a</b>	Thalika alkitabu la rayba feehi hudan lilmuttaqeena		Transliteration	quran_2_verse_2
quran_2_verse_3_transliteration_eng			Allatheena yuminoona bialghaybi wayuqeemoona alssalata wamimma razaqnahum yunfiqoona	Alla<u>th</u>eena yuminoona bi<b>a</b>lghaybi wayuqeemoona a<b>l</b><u>ss</u>al<u>a</u>ta wamimm<u>a</u> razaqn<u>a</u>hum yunfiqoon<b>a</b>	Allatheena yuminoona bialghaybi wayuqeemoona alssalata wamimma razaqnahum yunfiqoona		Transliteration	quran_2_verse_3
